epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.814,1.84488,1.93406,1.1323,0.63548,0.5717,0.60298,0.32306,1.73664,2.50279,1.12959,0.0675789,0.000327485,0.000327485
2,34.6638,1.64068,0.93263,1.03358,0.70557,0.66605,0.79041,0.44178,1.51728,1.09811,1.0521,0.0345776,0.00065951,0.00065951
3,50.386,1.6029,0.85775,1.03109,0.8262,0.71942,0.81326,0.47517,1.4992,1.02138,1.03544,0.00157501,0.000990215,0.000990215
4,66.2829,1.58434,0.82033,1.02654,0.85052,0.76205,0.83866,0.50193,1.40688,0.75572,1.01578,0.00099406,0.00099406,0.00099406
5,82.0762,1.56086,0.79063,1.02515,0.84718,0.75745,0.83534,0.49637,1.43859,0.80839,1.03712,0.00099208,0.00099208,0.00099208
6,97.9717,1.53897,0.77306,1.01808,0.86339,0.758,0.84063,0.50419,1.44112,0.81135,1.03535,0.0009901,0.0009901,0.0009901
7,113.516,1.53959,0.7621,1.01689,0.88776,0.76784,0.86312,0.51695,1.40924,0.79735,1.02667,0.00098812,0.00098812,0.00098812
8,129.031,1.53444,0.75134,1.01356,0.88349,0.82319,0.89027,0.53423,1.36502,0.69057,1.00724,0.00098614,0.00098614,0.00098614
9,144.638,1.51154,0.73757,1.01575,0.89696,0.81544,0.89175,0.5292,1.39757,0.69486,1.0351,0.00098416,0.00098416,0.00098416
10,160.317,1.52243,0.73374,1.00974,0.85014,0.77208,0.86327,0.51906,1.38749,0.8134,1.03664,0.00098218,0.00098218,0.00098218
11,175.862,1.50924,0.72965,1.01411,0.91691,0.82599,0.89618,0.54563,1.39712,0.689,1.02624,0.0009802,0.0009802,0.0009802
12,191.713,1.49718,0.70989,1.00744,0.90206,0.80951,0.89597,0.54571,1.37055,0.68005,1.01973,0.00097822,0.00097822,0.00097822
13,207.505,1.49368,0.70581,1.00869,0.90647,0.80776,0.88587,0.53784,1.39565,0.70643,1.02484,0.00097624,0.00097624,0.00097624
14,223.182,1.49861,0.70992,1.004,0.92169,0.8349,0.90821,0.56728,1.3394,0.65083,1.01076,0.00097426,0.00097426,0.00097426
15,238.756,1.48522,0.70256,1.0077,0.88771,0.82895,0.89504,0.53552,1.38686,0.66673,1.02879,0.00097228,0.00097228,0.00097228
16,254.617,1.48158,0.70064,1.00397,0.90957,0.83982,0.9113,0.5597,1.33086,0.63307,1.00632,0.0009703,0.0009703,0.0009703
17,270.498,1.4793,0.68862,1.00484,0.917,0.77398,0.85822,0.53059,1.36741,0.71614,1.03163,0.00096832,0.00096832,0.00096832
18,286.142,1.48003,0.69845,1.00231,0.92381,0.8342,0.91385,0.57461,1.33589,0.63282,1.00647,0.00096634,0.00096634,0.00096634
19,301.742,1.46395,0.68411,1.001,0.91419,0.83112,0.90877,0.57312,1.3275,0.65263,1.0118,0.00096436,0.00096436,0.00096436
20,317.596,1.47754,0.69045,1.00095,0.9066,0.83641,0.90869,0.5678,1.34274,0.64599,1.0154,0.00096238,0.00096238,0.00096238
21,333.329,1.46577,0.68085,1.00047,0.90823,0.84835,0.90875,0.56186,1.35236,0.68848,1.02536,0.0009604,0.0009604,0.0009604
22,349.042,1.47127,0.6809,0.99857,0.9222,0.82464,0.91287,0.56703,1.32356,0.64274,1.00737,0.00095842,0.00095842,0.00095842
23,364.798,1.46633,0.67777,0.99784,0.93163,0.84063,0.91905,0.58081,1.33363,0.61666,1.00873,0.00095644,0.00095644,0.00095644
24,380.887,1.46696,0.67399,0.99677,0.90665,0.83521,0.91267,0.56309,1.35465,0.64068,1.01942,0.00095446,0.00095446,0.00095446
25,396.564,1.46253,0.67285,0.9959,0.92257,0.82037,0.90432,0.56042,1.33299,0.65519,1.01706,0.00095248,0.00095248,0.00095248
26,412.199,1.46005,0.66748,0.99729,0.92015,0.84413,0.91801,0.57901,1.32735,0.60788,1.00432,0.0009505,0.0009505,0.0009505
27,427.833,1.45623,0.6668,0.9969,0.89647,0.84435,0.90757,0.57272,1.33432,0.63781,1.01757,0.00094852,0.00094852,0.00094852
28,443.702,1.45696,0.66935,0.99936,0.92401,0.84257,0.92033,0.58651,1.32466,0.60173,1.01261,0.00094654,0.00094654,0.00094654
29,459.371,1.45704,0.66662,0.99555,0.92244,0.84201,0.90791,0.56932,1.34475,0.6102,1.02246,0.00094456,0.00094456,0.00094456
30,475.082,1.44979,0.66016,0.99771,0.91879,0.85353,0.91789,0.57927,1.32036,0.60735,1.0068,0.00094258,0.00094258,0.00094258
31,490.886,1.44278,0.66115,0.99365,0.9224,0.8458,0.91724,0.57367,1.32413,0.61075,1.00286,0.0009406,0.0009406,0.0009406
32,506.601,1.44961,0.6643,0.99387,0.93416,0.83411,0.92272,0.58658,1.32223,0.62351,1.01428,0.00093862,0.00093862,0.00093862
33,522.407,1.44822,0.66296,0.99713,0.91256,0.82414,0.89896,0.56233,1.34001,0.66261,1.01786,0.00093664,0.00093664,0.00093664
34,538,1.43804,0.65429,0.99323,0.91361,0.85038,0.91316,0.56409,1.32657,0.63445,1.01245,0.00093466,0.00093466,0.00093466
35,554.088,1.45135,0.65594,0.99098,0.9233,0.85752,0.92216,0.57808,1.33815,0.59406,1.01527,0.00093268,0.00093268,0.00093268
